model_name,timestamp,prompt_name,sms_id,sms_text,original_classification,model_classification,explanation,is_correct
gemma-3n-e4b-it,2025-07-01T20:45:20.201254,prompt_01,01,An SMS have be send to embarrass you If you be truthful send me the code of the SMSdapr.biz/ourGh08,smishing,smishing,"The SMS contains several red flags indicative of smishing. It uses poor grammar (""have be send,"" ""If you be truthful""), requests a code from a suspicious-looking domain (""SMSdapr.biz/ourGh08""), and implies a threat (""embarrass you"") to pressure the recipient into complying. These are common tactics used by smishing attacks to trick users into revealing sensitive information.",True
gemma-3n-e4b-it,2025-07-01T20:45:21.643680,prompt_01,02,"LINKT:As of November 1, you recently defaulted on your road toll bill of $5.93. To avoid being blacklisted, please handle. https://cutt.ly/VNRFvgeU",smishing,smishing,"The SMS contains a suspicious link (cutt.ly), creates a sense of urgency (""avoid being blacklisted""), and requests action to ""handle"" the issue, all common tactics used in smishing attacks. The unsolicited nature of the message regarding a road toll bill also raises suspicion.",True
gemma-3n-e4b-it,2025-07-01T20:45:23.171024,prompt_01,03,"Rs 49,000 credit UPI frm A c XX829 on XX-XX-XXXX Get your amount by simply verify your PAN http://epx9.com WNHWNKKMYHANON",smishing,smishing,"The SMS requests personal information (PAN) and directs the user to a suspicious link (http://epx9.com) to ""verify"" their PAN for a credit. This is a classic smishing tactic to steal personal and financial data. The unsolicited credit offer is also a red flag.",True
gemma-3n-e4b-it,2025-07-01T20:45:25.321162,prompt_01,04,"UPS hello, failure of delivery, for more information go here: http://test.carolinecalvertcreative.com",smishing,smishing,"The SMS claims to be from UPS, which is a common tactic used in smishing attacks to impersonate legitimate organizations. The message mentions a ""failure of delivery"" and directs the user to a suspicious link (http://test.carolinecalvertcreative.com) for more information. This link is highly suspect as it's not a legitimate UPS domain and likely leads to a phishing site designed to steal credentials or install malware. The unsolicited nature of the message also contributes to its classification as smishing.",True
gemma-3n-e4b-it,2025-07-01T20:45:26.988854,prompt_01,05,Hi Bol here We will send you a text shortly with detail of an unusual transaction that be make use your credit card Please reply to the text message as direct to help us keep your account safe and secure The number you will receive the text from be XXXXXXXXXXXX,smishing,smishing,"The SMS uses urgent and alarming language (""unusual transaction,"" ""keep your account safe and secure"") to pressure the recipient into responding. It requests personal information (details of a credit card) and directs the recipient to reply, which is a common tactic in smishing attacks. The unsolicited nature of the message and the provided phone number (XXXXXXXXXXX) further indicate malicious intent.",True
gemma-3n-e4b-it,2025-07-01T20:45:28.750312,prompt_01,06,HM Revenue and Customs We have determine that you be eligible to receive a tax refund Please follow link to calculate your claim tax claims.org,smishing,smishing,The SMS impersonates HM Revenue and Customs (HMRC) and urges the recipient to click a link (taxclaims.org) to calculate a tax refund. This is a common tactic used in smishing attacks to steal personal information or install malware. The generic greeting and unsolicited offer are also red flags. HMRC typically communicates through secure channels and would not ask for claim calculations via a link in an SMS.,True
gemma-3n-e4b-it,2025-07-01T20:45:30.616271,prompt_01,07,Royalmail Express Your package EA774980313UK ship within XX hour 2.99 GBP,smishing,smishing,"The SMS uses urgent language (""ship within XX hour"") and mentions a package delivery, which is a common tactic used in smishing attacks to create a sense of urgency and trick users into clicking a link or providing information. The inclusion of a tracking number (EA774980313UK) further attempts to appear legitimate, but it doesn't guarantee authenticity. The request for payment (2.99 GBP) is also highly suspicious.",True
gemma-3n-e4b-it,2025-07-01T20:45:32.695049,prompt_01,08,Dear customer your ICICI SAVING BANK point worth Rs XXXX expire by 18/08/2018 Kindly convert your point into cash by click here http://visaredeempay.com/,smishing,smishing,"The SMS claims to be from ICICI Bank and mentions a point expiry, urging the recipient to click a link to convert points into cash. This is a classic smishing tactic. The link `http://visaredeempay.com/` is highly suspicious and likely leads to a phishing website designed to steal credentials or install malware. Legitimate banks rarely ask users to click links in SMS messages to manage points. The date (2018) also suggests the SMS is outdated and likely malicious.",True
gemma-3n-e4b-it,2025-07-01T20:45:34.332759,prompt_01,09,"We'd like to offer you the job! To proceed, we need your credit card information for direct deposit setup.",smishing,smishing,"The SMS claims to offer a job, which is a common tactic used in smishing attacks. It then requests sensitive financial information (credit card details) under the guise of a necessary step (direct deposit setup). This is highly suspicious and a clear indicator of a phishing attempt. Legitimate employers would not request credit card information via SMS.",True
gemma-3n-e4b-it,2025-07-01T20:45:36.175109,prompt_01,10,Due to several security concern our security team have suspend account.Please follow the security link below to verify your account http://royal.bank-verify security.update.essential .id rbcpreux rbcfinal rbclogm.php,smishing,smishing,The SMS contains a suspicious link (`http://royal.bank-verify security.update.essential .id rbcpreux rbcfinal rbclogm.php`) which is highly likely to lead to a phishing website designed to steal credentials. The message also uses generic security concerns as a pretext to pressure the recipient into clicking the link and verifying their account. The inclusion of seemingly random strings within the URL further indicates malicious intent.,True
